word,parent_word
লটকাইয়া,লটকানো
লিখাইয়া,লিখানো
লুফাইয়া,লুফানো
লেখাইয়া,লেখানো
লড়াইয়া,লড়ানো
শানাইয়া,শানানো
শুনাইয়া,শুনানো
শুষাইয়া,শুষানো
শুয়াইয়া,শুয়ানো
শোধাইয়া,শোধানো
সঁপাইয়া,সঁপানো
সপাইয়া,সপানো
সওয়াইয়া,সওয়ানো
সটকাইয়া,সটকানো
সরাইয়া,সরানো
সহাইয়া,সহানো
সেঁচাইয়া,সেঁচানো
সেচাইয়া,সেচানো
সেকাইয়া,সেকানো
হওয়াইয়া,হওয়ানো
হটাইয়া,হটানো
হরাইয়া,হরানো
হানাইয়া,হানানো
হেলাইয়া,হেলানো
টকাইয়া,টকানো
আঁকিয়া,আঁকা
আকিয়া,আকা
আঁটিয়া,আঁটা
আটিয়া,আটা
আনিয়া,আনা
আসিয়া,আসা
কাঁড়িয়া,কাঁড়া
কাড়িয়া,কাড়া
কাঁদিয়া,কাঁদা
কাদিয়া,কাদা
কাঁপিয়া,কাঁপা
কাপিয়া,কাপা
কাচিয়া,কাচা
কাটিয়া,কাটা
খাটিয়া,খাটা
গাঁথিয়া,গাঁথা
গাথিয়া,গাথা
গাড়িয়া,গাড়া
ঘাঁটিয়া,ঘাঁটা
ঘাটিয়া,ঘাটা
চাঁছিয়া,চাঁছা
চাছিয়া,চাছা
চাপিয়া,চাপা
ছাঁটিয়া,ছাঁটা
ছাটিয়া,ছাটা
ছাড়িয়া,ছাড়া
ছাপিয়া,ছাপা
টানিয়া,টানা
ডাকিয়া,ডাকা
ঢালিয়া,ঢালা
থাকিয়া,থাকা
থামিয়া,থামা
দাগিয়া,দাগা
নাচিয়া,নাচা
নামিয়া,নামা
পাতিয়া,পাতা
পারিয়া,পারা
বাঁচিয়া,বাঁচা
বাঁধিয়া,বাঁধা
বাধিয়া,বাধা
বাছিয়া,বাছা
বাসিয়া,বাসা
ভাঙিয়া,ভাঙা
ভাজিয়া,ভাজা
ভাবিয়া,ভাবা
জাগিয়া,জাগা
জানিয়া,জানা
ভাসিয়া,ভাসা
মাখিয়া,মাখা
মাগিয়া,মাগা
মাজিয়া,মাজা
মাতিয়া,মাতা
মানিয়া,মানা
মারিয়া,মারা
রাঁধিয়া,রাঁধা
রাধিয়া,রাধা
রাখিয়া,রাখা
রাগিয়া,রাগা
লাগিয়া,লাগা
সাজিয়া,সাজা
সাধিয়া,সাধা
হাঁকিয়া,হাঁকা
হাকিয়া,হাকা
হাঁচিয়া,হাঁচা
হাচিয়া,হাচা
হাঁটিয়া,হাঁটা
হাটিয়া,হাটা
হারিয়া,হারা
হাসিয়া,হাসা
করিয়া,করা
গড়িয়া,গড়া
ঘষিয়া,ঘষা
চটিয়া,চটা
চড়িয়া,চড়া
চরিয়া,চরা
চষিয়া,চষা
জপিয়া,জপা
ঠকিয়া,ঠকা
ঢলিয়া,ঢলা
ধরিয়া,ধরা
পচিয়া,পচা
পড়িয়া,পড়া
পরিয়া,পরা
দমিয়া,দমা
বলিয়া,বলা
বসিয়া,বসা
ভজিয়া,ভজা
মরিয়া,মরা
ফলিয়া,ফলা
কাটিয়া,কাটা
কামিয়া,কামা
কাশিয়া,কাশা
কাড়িয়া,কাড়া
চাটিয়া,চাটা
চাহিয়া,চাহা
ছাকিয়া,ছাকা
ছাড়িয়া,ছাড়া
ছাপিয়া,ছাপা
জাগিয়া,জাগা
ঝাড়িয়া,ঝাড়া
টাঙিয়া,টাঙা
ঠাসিয়া,ঠাসা
ঢাকিয়া,ঢাকা
তাতিয়া,তাতা
নাড়িয়া,নাড়া
ফাটিয়া,ফাটা
ফাড়িয়া,ফাড়া
বাটিয়া,বাটা
বাধিয়া,বাধা
বাড়িয়া,বাড়া
হানিয়া,হানা
ভাগিয়া,ভাগা
ভানিয়া,ভানা
ভাবিয়া,ভাবা
মাপিয়া,মাপা
যাচিয়া,যাচা
শানাকশিয়া,শানাকশা
কসিয়া,কসা
খসিয়া,খসা
গছিয়া,গছা
গজিয়া,গজা
ঘষিয়া,ঘষা
চড়িয়া,চড়া
জড়িয়া,জড়া
ঝরিয়া,ঝরা
টকিয়া,টকা
টলিয়া,টলা
ডলিয়া,ডলা
তলিয়া,তলা
