word,parent_word,tense,person,negation
আঁকে,আঁকা,sb,ae,0
আঁকে,আঁকা,sb,er,0
আঁকেন,আঁকা,bo,ap,0
আঁকেন,আঁকা,sb,ap,0
আঁকেন,আঁকা,sb,eR,0
আঁকেন,আঁকা,sb,in,0
আঁকো,আঁকা,bo,tm,0
আঁকো,আঁকা,sb,tm,0
আঁচড়া,আঁচড়ানো,bo,tu,0
আঁচড়াই,আঁচড়ানো,sb,am,0
আঁচড়াইতে,আঁচড়ানো,no,tm,0
আঁচড়াইনি,আঁচড়ানো,so,am,1
আঁচড়াইলে,আঁচড়ানো,so,tm,0
আঁচড়াও,আঁচড়ানো,bo,tm,0
আঁচড়াও,আঁচড়ানো,sb,tm,0
আঁচড়াওনি,আঁচড়ানো,so,tm,1
আঁচড়াচ্ছ,আঁচড়ানো,gb,tm,0
আঁচড়াচ্ছি,আঁচড়ানো,gb,am,0
আঁচড়াচ্ছিল,আঁচড়ানো,go,ae,0
আঁচড়াচ্ছিল,আঁচড়ানো,go,er,0
আঁচড়াচ্ছিলাম,আঁচড়ানো,go,am,0
আঁচড়াচ্ছিলি,আঁচড়ানো,go,tu,0
আঁচড়াচ্ছিলে,আঁচড়ানো,go,tm,0
আঁচড়াচ্ছিলেন,আঁচড়ানো,go,ap,0
আঁচড়াচ্ছিলেন,আঁচড়ানো,go,eR,0
আঁচড়াচ্ছিলেন,আঁচড়ানো,go,in,0
আঁচড়াচ্ছিস,আঁচড়ানো,gb,tu,0
আঁচড়াচ্ছে,আঁচড়ানো,gb,ae,0
আঁচড়াচ্ছে,আঁচড়ানো,gb,er,0
আঁচড়াচ্ছেন,আঁচড়ানো,gb,ap,0
আঁচড়াচ্ছেন,আঁচড়ানো,gb,eR,0
আঁচড়াচ্ছেন,আঁচড়ানো,gb,in,0
আঁচড়াত,আঁচড়ানো,no,ae,0
আঁচড়াত,আঁচড়ানো,no,er,0
আঁচড়াতাম,আঁচড়ানো,no,am,0
আঁচড়াতিস,আঁচড়ানো,no,tu,0
আঁচড়াতে থাকব,আঁচড়ানো,gv,am,0
আঁচড়াতে থাকবি,আঁচড়ানো,gv,tu,0
আঁচড়াতে থাকবে,আঁচড়ানো,gv,ae,0
আঁচড়াতে থাকবে,আঁচড়ানো,gv,er,0
আঁচড়াতে থাকবে,আঁচড়ানো,gv,tm,0
আঁচড়াতে থাকবেন,আঁচড়ানো,gv,ap,0
আঁচড়াতে থাকবেন,আঁচড়ানো,gv,eR,0
আঁচড়াতে থাকবেন,আঁচড়ানো,gv,in,0
আঁচড়াতে,আঁচড়ানো,no,tm,0
আঁচড়াতেন,আঁচড়ানো,no,ap,0
আঁচড়াতেন,আঁচড়ানো,no,eR,0
আঁচড়াতেন,আঁচড়ানো,no,in,0
আঁচড়ান,আঁচড়ানো,bo,ap,0
আঁচড়ান,আঁচড়ানো,sb,ap,0
আঁচড়ান,আঁচড়ানো,sb,eR,0
আঁচড়ান,আঁচড়ানো,sb,in,0
আঁচড়াননি,আঁচড়ানো,so,ap,1
আঁচড়াব,আঁচড়ানো,sv,am,0
আঁচড়াবি,আঁচড়ানো,sv,tu,0
আঁচড়াবি,আঁচড়ানো,vo,tu,0
আঁচড়াবে,আঁচড়ানো,sv,ae,0
আঁচড়াবে,আঁচড়ানো,sv,er,0
আঁচড়াবে,আঁচড়ানো,sv,tm,0
আঁচড়াবে,আঁচড়ানো,vo,tm,0
আঁচড়াবেন,আঁচড়ানো,sv,ap,0
আঁচড়াবেন,আঁচড়ানো,sv,eR,0
আঁচড়াবেন,আঁচড়ানো,sv,in,0
আঁচড়াবেন,আঁচড়ানো,vo,ap,0
আঁচড়াবো,আঁচড়ানো,sv,am,0
আঁচড়াল,আঁচড়ানো,so,ae,0
আঁচড়াল,আঁচড়ানো,so,er,0
আঁচড়ালাম,আঁচড়ানো,so,am,0
আঁচড়ালি,আঁচড়ানো,so,tu,0
আঁচড়ালে,আঁচড়ানো,so,tm,0
আঁচড়ালেন,আঁচড়ানো,so,ap,0
আঁচড়ালেন,আঁচড়ানো,so,eR,0
আঁচড়ালেন,আঁচড়ানো,so,in,0
আঁচড়াস,আঁচড়ানো,sb,tu,0
আঁচড়াসনি,আঁচড়ানো,so,tu,1
আঁচড়ায়,আঁচড়ানো,sb,ae,0
আঁচড়ায়,আঁচড়ানো,sb,er,0
আঁচড়ায়নি,আঁচড়ানো,so,ae,1
আঁচড়িয়েছ,আঁচড়ানো,pb,tm,0
আঁচড়িয়েছি,আঁচড়ানো,pb,am,0
আঁচড়িয়েছিল,আঁচড়ানো,po,ae,0
আঁচড়িয়েছিল,আঁচড়ানো,po,er,0
আঁচড়িয়েছিলাম,আঁচড়ানো,po,am,0
আঁচড়িয়েছিলি,আঁচড়ানো,po,tu,0
আঁচড়িয়েছিলে,আঁচড়ানো,po,tm,0
আঁচড়িয়েছিলেন,আঁচড়ানো,po,ap,0
আঁচড়িয়েছিলেন,আঁচড়ানো,po,eR,0
আঁচড়িয়েছিলেন,আঁচড়ানো,po,in,0
আঁচড়িয়েছিস,আঁচড়ানো,pb,tu,0
আঁচড়িয়েছে,আঁচড়ানো,pb,ae,0
আঁচড়িয়েছে,আঁচড়ানো,pb,er,0
আঁচড়িয়েছেন,আঁচড়ানো,pb,ap,0
আঁচড়িয়েছেন,আঁচড়ানো,pb,eR,0
আঁচড়িয়েছেন,আঁচড়ানো,pb,in,0
আঁট,আঁটা,bo,tu,0
আঁটছ,আঁটা,gb,tm,0
আঁটছি,আঁটা,gb,am,0
আঁটছিল,আঁটা,go,ae,0
আঁটছিল,আঁটা,go,er,0
আঁটছিলাম,আঁটা,go,am,0
আঁটছিলি,আঁটা,go,tu,0
আঁটছিলে,আঁটা,go,tm,0
আঁটছিলেন,আঁটা,go,ap,0
আঁটছিলেন,আঁটা,go,eR,0
আঁটছিলেন,আঁটা,go,in,0
আঁটছিস,আঁটা,gb,tu,0
আঁটছে,আঁটা,gb,ae,0
আঁটছে,আঁটা,gb,er,0
আঁটছেন,আঁটা,gb,ap,0
আঁটছেন,আঁটা,gb,eR,0
আঁটছেন,আঁটা,gb,in,0
আঁটত,আঁটা,no,ae,0
আঁটত,আঁটা,no,er,0
আঁটতাম,আঁটা,no,am,0
আঁটতিস,আঁটা,no,tu,0
আঁটতে থাকব,আঁটা,gv,am,0
আঁটতে থাকবি,আঁটা,gv,tu,0
