,verb,Ami,Tumi,Tui,Apni,Shey,,,
132,গলানো,গলাইনি,গলাওনি,গলাসনি,গলাননি,গলায়নি,,,
133,গাঁথা,,,,,,,,
134,গাওয়া,গাওয়াইনি,গাওয়াওনি,গাওয়াসনি,গাওয়াননি,গাওয়ায়নি,,,
135,গােঙানো,গােঙানো,গােঙাওনি,গােঙাসনি,গােঙাননি,গােঙায়নি,,,
136,গােছানো,গােছানো,গােছাওনি,গােছাসনি,গােছাননি,গােছায়নি,,,
137,গােটানো,গােটানো,গােটাওনি,গােটাসনি,গােটাননি,গােটায়নি,,,
138,গােনা,গুনিনি,গােনোনি,গােনিসনি,গােনেননি,গােনেনি,,,
,গােনানো,গােনাইনি,গােনাওনি,গােনাসনি,গােনাননি,গােনায়নি,,,
139,গাড়া,গাড়িনি,গাড়োনি,গাড়িসনি,গাড়েননি,গাড়েনি,,,
,গাড়ানো,গাড়াইনি,গাড়াওনি,গাড়াসনি,গাড়াননি,গাড়ায়নি,,,
140,গুঁজা,গুঁজিনি,গুঁজোনি,গুঁজোসনি,গুঁজোননি,গুঁজেনি,,,
141,গুঁতা,,,গুতোসনি,গুঁতেননি,গুঁতেনি,,,
142,গুঁতানো,গুঁতাইনি,গুঁতাওনি,গুঁতাসনি,গুঁতাননি,গুঁতায়নি,,,
143,গুঁড়া,,,,,,,,
144,গুঁড়ানো,গুঁড়াইনি,গুঁড়াওনি,গুঁড়াসনি,গুঁড়াননি,গুঁড়ায়নি,,,
145,গুঙা,,,,গুঙেননি,,,,
146,গুঙানো,গুঙাইনি,গুঙাওনি,গুঙাসনি,গুঙাননি,গুঙায়নি,,,
147,গুছা,,,,,,,,
148,গুছানো,গুছাইনি,গুছাওনি,গুছাসনি,গুছাননি,গুছায়নি,,,
149,গুজরানো,,,,,,,,
150,গুটা,,,,,,,,
151,গুটানো,গুটাইনি,গুটাওনি,গুটাসনি,গুটাননি,গুটায়নি,,,
152,গুনা,,,,,,,,
